0.01	0.0263063	0.00283668
0.011	0.027811	0.00299894
0.012	0.0252886	0.00272694
0.013	0.0254357	0.0027428
0.014	0.0267762	0.00288736
0.015	0.0257571	0.00277746
0.016	0.02788	0.00300638
0.017	0.0318048	0.0034296
0.018	0.0292578	0.00315495
0.019	0.0301936	0.00325585
0.02	0.0284798	0.00307106
0.021	0.0336923	0.00363314
0.022	0.0289428	0.00312099
0.023	0.0296936	0.00320194
0.024	0.0323291	0.00348614
0.025	0.0334112	0.00360282
0.026	0.0275933	0.00297547
0.027	0.0362545	0.00390942
0.028	0.0344842	0.00371853
0.029	0.0297133	0.00320407
0.03	0.0367633	0.00396429
