0.01	0.0458146	0.0016489
0.011	0.0458926	0.00165171
0.012	0.0458973	0.00165188
0.013	0.0457702	0.0016473
0.014	0.0469593	0.0016901
0.015	0.0450817	0.00162252
0.016	0.0463443	0.00166797
0.017	0.0452745	0.00162947
0.018	0.0460883	0.00165875
0.019	0.0468965	0.00168784
0.02	0.0466823	0.00168013
0.021	0.0486022	0.00174923
0.022	0.0464481	0.0016717
0.023	0.0472494	0.00170054
0.024	0.0491131	0.00176762
0.025	0.0485492	0.00174733
0.026	0.0488314	0.00175748
0.027	0.0491403	0.0017686
0.028	0.0508712	0.00183089
0.029	0.0501888	0.00180633
0.03	0.0504479	0.00181566
